ID,Nombre,Page,Slug,In_mongo
29,crowdpear,crowdpear.com,crowdpear,SI
30,BERGFÃœRST,,,SI
31,EstateGuru,estateguru.co,estateguru,SI
32,Landed.eu,landed.eu,landed,SI
33,Crowdfolio,,,SI
34,Investown,investown.cz,investown,SI
35,PRYPCO Blocks,prypco.com,prypco,SI
36,Shojin,shojin.co.uk,shojin,SI
